fips,state,county,perc_no_hs_1970,perc_no_hs_2019
0,US,United States,47.7,12.0
1000,AL,Alabama,58.7,13.8
1001,AL,Autauga County,54.8,11.5
1003,AL,Baldwin County,59.4,9.2
1005,AL,Barbour County,68.8,26.8
1007,AL,Bibb County,73.1,20.9
1009,AL,Blount County,70.5,19.5
1011,AL,Bullock County,72.9,25.3
1013,AL,Butler County,70.5,15.0
1015,AL,Calhoun County,58.6,15.6
1017,AL,Chambers County,67.4,18.4
1019,AL,Cherokee County,69.8,18.4
1021,AL,Chilton County,73.2,18.2
1023,AL,Choctaw County,68.2,18.6
1025,AL,Clarke County,62.7,19.4
1027,AL,Clay County,66.8,23.3
1029,AL,Cleburne County,73.1,21.0
1031,AL,Coffee County,59.9,14.1
1033,AL,Colbert County,56.3,14.8
1035,AL,Conecuh County,71.2,15.7
1037,AL,Coosa County,69.8,20.0
1039,AL,Covington County,68.3,16.6
1041,AL,Crenshaw County,73.9,20.8
1043,AL,Cullman County,69.7,18.4
1045,AL,Dale County,44.6,13.9
1047,AL,Dallas County,58.6,18.2
1049,AL,DeKalb County,72.5,25.2
1051,AL,Elmore County,62.0,13.4
1053,AL,Escambia County,65.4,18.9
1055,AL,Etowah County,59.2,15.4
1057,AL,Fayette County,69.8,17.4
1059,AL,Franklin County,67.4,22.8
1061,AL,Geneva County,68.1,19.7
1063,AL,Greene County,73.2,20.8
1065,AL,Hale County,74.2,16.0
1067,AL,Henry County,70.2,20.6
1069,AL,Houston County,57.3,14.0
1071,AL,Jackson County,71.5,16.8
1073,AL,Jefferson County,52.7,9.9
1075,AL,Lamar County,73.9,17.7
1077,AL,Lauderdale County,56.0,12.6
1079,AL,Lawrence County,71.3,20.7
1081,AL,Lee County,51.5,9.1
1083,AL,Limestone County,62.4,15.3
1085,AL,Lowndes County,73.6,21.7
1087,AL,Macon County,61.0,18.2
1089,AL,Madison County,37.0,8.3
1091,AL,Marengo County,65.6,16.2
1093,AL,Marion County,71.6,20.4
1095,AL,Marshall County,65.9,18.4
1097,AL,Mobile County,57.4,13.5
1099,AL,Monroe County,67.3,14.4
1101,AL,Montgomery County,45.7,13.3
1103,AL,Morgan County,54.0,15.9
1105,AL,Perry County,71.2,17.2
1107,AL,Pickens County,68.4,18.5
1109,AL,Pike County,62.6,15.0
1111,AL,Randolph County,71.7,20.4
1113,AL,Russell County,72.9,16.2
1115,AL,St. Clair County,68.8,15.4
1117,AL,Shelby County,63.9,7.3
1119,AL,Sumter County,67.5,13.3
1121,AL,Talladega County,64.3,19.7
1123,AL,Tallapoosa County,66.9,19.3
1125,AL,Tuscaloosa County,55.2,11.7
1127,AL,Walker County,69.7,18.2
1129,AL,Washington County,70.5,17.4
1131,AL,Wilcox County,69.6,23.5
1133,AL,Winston County,69.1,21.2
2000,AK,Alaska,33.3,7.2
2010,AK,Aleutian Islands,39.7,
2013,AK,Aleutians East Borough,,14.5
2016,AK,Aleutians West Census Area,,10.5
2020,AK,Anchorage Municipality,24.1,6.1
2050,AK,Bethel Census Area,80.6,19.1
2060,AK,Bristol Bay Borough,29.2,6.0
2068,AK,Denali Borough,,1.5
2070,AK,Dillingham Census Area,69.5,13.7
2090,AK,Fairbanks North Star Borough,25.0,5.5
2100,AK,Haines Borough,53.1,2.5
2105,AK,Hoonah-Angoon Census Area,,6.3
