fips,state,year,no_hs,col
01000,AL,1970,11.0,-2.8999999999999995
02000,AK,1970,-14.400000000000006,3.4000000000000004
04000,AZ,1970,-5.800000000000004,1.9000000000000004
05000,AR,1970,12.399999999999999,-3.999999999999999
06000,CA,1970,-10.300000000000004,2.700000000000001
08000,CO,1970,-11.600000000000001,4.200000000000001
09000,CT,1970,-3.700000000000003,3.0
10000,DE,1970,-2.3000000000000043,2.4000000000000004
11000,DC,1970,-2.9000000000000057,7.100000000000001
12000,FL,1970,-0.30000000000000426,-0.3999999999999986
13000,GA,1970,11.699999999999996,-1.5
15000,HI,1970,-9.600000000000001,3.3000000000000007
16000,ID,1970,-7.200000000000003,-0.6999999999999993
17000,IL,1970,-0.30000000000000426,-0.3999999999999986
18000,IN,1970,-0.6000000000000014,-2.3999999999999986
19000,IA,1970,-6.700000000000003,-1.5999999999999996
20000,KS,1970,-7.600000000000001,0.7000000000000011
21000,KY,1970,13.799999999999997,-3.499999999999999
22000,LA,1970,10.099999999999994,-1.6999999999999993
23000,ME,1970,-2.4000000000000057,-2.299999999999999
24000,MD,1970,0.0,3.200000000000001
25000,MA,1970,-6.200000000000003,1.9000000000000004
26000,MI,1970,-0.5,-1.299999999999999
27000,MN,1970,-5.300000000000004,0.40000000000000036
28000,MS,1970,11.299999999999997,-2.5999999999999996
29000,MO,1970,3.5,-1.6999999999999993
30000,MT,1970,-6.900000000000006,0.3000000000000007
31000,NE,1970,-7.0,-1.0999999999999996
32000,NV,1970,-12.900000000000006,0.10000000000000142
33000,NH,1970,-5.300000000000004,0.20000000000000107
34000,NJ,1970,-0.20000000000000284,1.1000000000000014
35000,NM,1970,-2.9000000000000057,2.0
36000,NY,1970,-0.4000000000000057,1.200000000000001
37000,NC,1970,13.799999999999997,-2.1999999999999993
38000,ND,1970,2.0,-2.299999999999999
39000,OH,1970,-0.9000000000000057,-1.3999999999999986
40000,OK,1970,0.6999999999999957,-0.6999999999999993
41000,OR,1970,-7.700000000000003,1.1000000000000014
42000,PA,1970,2.0999999999999943,-2.0
44000,RI,1970,5.899999999999999,-1.299999999999999
45000,SC,1970,14.5,-1.6999999999999993
46000,SD,1970,-1.0,-2.0999999999999996
47000,TN,1970,10.5,-2.799999999999999
48000,TX,1970,4.899999999999999,0.20000000000000107
49000,UT,1970,-15.0,3.3000000000000007
50000,VT,1970,-4.800000000000004,0.8000000000000007
51000,VA,1970,4.5,1.6000000000000014
53000,WA,1970,-11.200000000000003,2.0
54000,WV,1970,10.699999999999996,-3.8999999999999995
55000,WI,1970,-2.200000000000003,-0.8999999999999986
56000,WY,1970,-10.600000000000001,1.1000000000000014
72000,PR,1970,,
01000,AL,1980,10.0,-4.0
02000,AK,1980,-16.0,4.900000000000002
04000,AZ,1980,-5.899999999999999,1.1999999999999993
05000,AR,1980,11.0,-5.399999999999999
06000,CA,1980,-7.0,3.400000000000002
08000,CO,1980,-12.100000000000001,6.800000000000001
09000,CT,1980,-3.8000000000000007,4.5
10000,DE,1980,-2.1000000000000014,1.3000000000000007
